Location_Name,Parent_Name,Households,Population,药材,纺织品,矿产/金属,畜产品/土特产,农产品,其他/待分类
岷州,隴右道,4325,23441,甘草,龍鬚席,,,,
廓州,隴右道,4261,24400,大黃; 麝香,,麩金; 戎鹽,酥,,
疊州,隴右道,1275,7674,麝香,,,,,
宕州,隴右道,1190,7199,麝香,,麩金; 散金,,,
涼州,隴右道,22462,120281,芎藭,龍鬚席; 毯,,野馬革,白夌,
沙州,隴右道,4265,16250,,,黃礬; 石膏,,,碁子
瓜州,隴右道,477,4987,,緊鞓,黃礬; 絳礬,野馬革,,草豉; 胡桐律
甘州,隴右道,6284,22092,麝香,,,野馬革; 冬柰; 苟𣏌實; 苟𣏌葉,,
肅州,隴右道,2230,8476,蓯蓉; 柏脈根,,麩金,野馬革,,
伊州,隴右道,2467,10157,,,,陰牙角,香棗,胡桐律
西州,隴右道,19016,49476,,絲; 㲲布; 氈,,剌蜜,蒲萄,蒲萄五物酒漿煎皺乾
北庭大都護府,隴右道,2226,9964,阿魏截根,,,陰牙角; 速霍角,,
安西大都護府,隴右道,,,𥐼砂; 偏桃人,緋氈,,,,
淮南道,,,,,布; 紵,,,絲; 葛,絁; 綿
揚州,淮南道,77105,467857,空青; 白芒; 兔絲; 蛇粟; 括蔞粉,綿; 蕃客袍錦; 被錦; 半臂錦; 獨窠綾; 殿額莞席,金; 銀; 銅器; 青銅鏡; 鐵精,水兕甲; 魚臍; 魚鮬; 糖蟹; 蜜薑,黃稑米; 烏節米; 藕,
楚州,淮南道,26062,153000,,貲布; 紵布,,,,
滁州,淮南道,26486,152374,,貲布; 絲布; 紵; 綀; 麻,銅,,,
和州,淮南道,24794,122013,,紵布,,,,
壽州,淮南道,35581,187587,生石斛,絲布; 絁,,,茶,
廬州,淮南道,43323,205396,生石斛,花紗; 交梭絲布,銅,蠟; 酥; 鹿脯,茶,
舒州,淮南道,35353,186398,石斛,紵布,鐵器,蠟,,酒器
光州,淮南道,31473,198580,石斛,葛布,,,,
蘄州,淮南道,26809,186849,白花蛇; 烏蛇脯,白紵,鐵,,茶,簟; 鹿毛筆
安州,淮南道,22221,171202,,青紵布,,,糟筍瓜,
黃州,淮南道,15512,96368,連翹; 松蘿; 蝱蟲,白紵布; 貲布,,,,
申州,淮南道,25864,147756,蝱蟲,緋葛; 紵布; 貲布,,,茶,
江南東道,,,,,,,,,
潤州,江南東道,102023,662706,,衫羅; 水紋綾; 方紋綾; 魚口綾; 繡葉綾; 花紋綾; 火麻布,伏牛山銅器,鱘; 鮓,竹根; 黃粟,
昇州,江南東道,,,,,,,甘棠,筆
常州,江南東道,102633,690673,,紬; 絹; 布; 紵; 紅紫綿巾; 緊紗; 兔褐; 皂布,,,大小香秔; 紫筍茶; 署預,龍鳳席
蘇州,江南東道,76421,632650,蛇粟,絲葛; 絲綿; 八蠶絲; 緋綾; 布,,鯔皮; 魬; 䱜; 鴨胞; 肚魚; 魚子,大小香秔; 柑; 橘; 藕,白角簟; 草席; 鞵; 白石脂
湖州,江南東道,73306,477698,,御服; 鳥眼綾; 折皂布; 綿紬; 布; 紵,,蜜,糯米; 黃𥻶; 紫筍茶; 木瓜; 杭子; 乳柑,金沙泉
杭州,江南東道,86258,585963,芑; 牛膝,白編綾; 緋綾,,蜜薑; 乾薑,木瓜; 橘,藤紙
穆州,江南東道,,,,,,,,
越州,江南東道,90279,529589,丹沙,寶花羅; 花紋等羅; 白編綾; 交梭綾; 十樣花紋等綾; 輕容; 生縠; 花紗; 吳絹,,石蜜; 葛粉,橘,瓷器; 紙; 筆
明州,江南東道,42207,207032,署預; 附子,吳綾; 交梭綾,,海味,,
衢州,江南東道,68472,440411,,綿紙,,,,竹扇
處州,江南東道,42936,258248,黃連,綿,銅; 銀,蠟,,
婺州,江南東道,144086,707152,黃連,綿; 葛; 紵布,,,赤松澗米; 香秔; 葛粉,藤紙; 漆
溫州,江南東道,42814,241690,,布,,,柑; 橘; 蔗,蛟革
台州,江南東道,83868,489015,,,金漆,甲香; 蛟革; 飛生鳥,乳柑; 乾薑,
福州,江南東道,34084,75876,,蕉布,,,茶; 橄欖,海蛤; 文扇
建州,江南東道,22770,142774,,花練; 竹綀,銀; 銅; 鐵; 金,,蕉,
泉州,江南東道,23806,160295,,綿; 絲; 葛,,,蕉,
汀州,江南東道,4680,13702,,,銅; 鐵; 銀,蠟燭,,
漳州,江南東道,5846,17940,,,,甲香; 鮫革,,
江南西道,,,,,,,,,
宣州,江南西道,121204,884985,黃連,綺; 白紵; 絲頭紅毯; 兔褐,銀; 銅器; 碌青; 鉛,,署預,簟; 紙; 筆
歙州,江南西道,38320,269109,黃連,白紵,,,,簟; 紙
池州,江南西道,,,,,鐵; 鉛,,,紙
洪州,江南西道,55530,353231,,葛; 絲布,銅,,乳柑,梅煎
江州,江南西道,19025,105744,,葛,,,,紙; 碌; 生石斛
鄂州,江南西道,19190,84563,,貲布,銀; 碌,,,
岳州,江南西道,11740,50298,鼈甲,紵布,,,,
饒州,江南西道,40899,244350,,簟,麩金; 銀,,茶,
虔州,江南西道,37647,275410,,絲布; 紵布; 竹綀,,石蜜; 梅; 桂子,,斑竹
吉州,江南西道,37752,337032,陟釐,絲葛; 紵布,,,,斑竹
袁州,江南西道,27093,144096,,白紵,銅; 鐵,,,
信州,江南西道,,,,,銅; 鉛,葛粉,,
撫州,江南西道,30605,176394,,金絲布; 葛,,,朱橘,竹箭
潭州,江南西道,32272,192657,,絲葛; 絲布,,,木瓜,
衡州,江南西道,33688,199228,,,麩金,,,綿紙
永州,江南西道,27494,176168,,葛,,,,笴; 零陵香; 石蜜; 石鷰
道州,江南西道,22551,139063,零陵香,白紵,,,,犀角
郴州,江南西道,33175,,,紵布; 絲布,赤錢,,,
邵州,江南西道,17073,71644,犀角,,銀,,,
黔州,江南西道,4270,24204,犀角,,光明丹沙,蠟,,
辰州,江南西道,4241,28554,光明丹沙; 犀角; 黃連; 黃牙,,,,,
錦州,江南西道,2872,14374,光明丹砂; 犀角,,,,,
施州,江南西道,3702,16444,犀角; 黃連; 藥實,,麩金,蠟,,
敍州,江南西道,5368,22738,犀角,,麩金,,,
奬州,江南西道,1672,7284,犀角,,麩金,蠟,,
夷州,江南西道,1284,1013,犀角,,,蠟燭,,
播州,江南西道,490,2168,,,,斑竹,,
思州,江南西道,1599,12021,,,,蠟,,
費州,江南西道,429,2609,,,,蠟,,
南州,江南西道,443,2043,,班布,,,,
溪州,江南西道,2184,15282,犀角,,丹沙,,茶牙,
溱州,江南西道,879,5045,,斑布,丹沙,,,文龜
劍南道,,,,,布; 絲; 葛; 羅; 綾; 綿紬,金,羚角; 犛尾,,
